artistName,tags,hoursPlayed
Billie Eilish,"pop, indie pop, electropop, art pop, alternative",213.8055275
Cigarettes After Sex,"dream pop, shoegaze, slowcore, lo-fi, indie",104.382175
The Beatles,"classic rock, rock, british, 60s, pop",28.721878611111112
The Neighbourhood,"indie, indie rock, indie pop, rock, alternative",22.101031666666668
The Marías,"dream pop, indie pop, bedroom pop, indie, sophisti-pop",21.478036666666668
Vlad Rosu,,15.1764775
Tom Odell,"indie, folk, british, singer-songwriter, piano",13.879882222222221
Adele,"soul, female vocalists, british, singer-songwriter, indie",12.750291666666667
Kendrick Lamar,"hip-hop, rap, west coast, hip hop, compton",11.221013333333334
Lana Del Rey,"indie, female vocalists, indie pop, pop, alternative",11.131919444444444
Olivia Rodrigo,"pop, pop rock, rock, indie pop, female vocalists",8.934445277777778
Adrianne Lenker,"singer-songwriter, indie folk, folk, female vocalists, indie",8.926868888888889
Frank Ocean,"rnb, soul, hip-hop, r&b, ofwgkta",8.002948611111112
Conan Gray,"pop, indie pop, my top songs, indie, american",7.981379166666667
Radiohead,"rock, alternative, alternative rock, indie, electronic",7.9145972222222225
FINNEAS,"indie pop, alternative, singer-songwriter, indie, my top songs",7.881107777777777
sombr,"indie, alternative, rock, singer-songwriter, indie rock",7.768771388888889
Daniel Caesar,"rnb, soul, neo-soul, canadian, alternative rnb",7.585424722222222
Rammstein,"industrial metal, metal, german, industrial, rock",7.2791355555555555
Billy Joel,"classic rock, singer-songwriter, rock, pop, piano",7.151944722222222
Ariana Grande,"pop, rnb, female vocalists, ariana grande, american",6.9419836111111115
John Lennon,"classic rock, rock, singer-songwriter, british, pop",6.823985833333333
Kanye West,"hip-hop, rap, hip hop, rnb, kanye west",6.730350277777778
Phoebe Bridgers,"singer-songwriter, indie folk, folk, indie, indie rock",6.653221944444445
The Favors,"indie, pop, pop rock, usa, united states",6.448303611111111
Jeff Buckley,"singer-songwriter, rock, alternative, folk, indie",6.136906388888889
David Bowie,"glam rock, rock, classic rock, 80s, alternative",5.9706275
Pink Floyd,"progressive rock, psychedelic rock, classic rock, rock, psychedelic",5.945912222222222
The Smiths,"post-punk, indie, new wave, 80s, alternative",5.7675769444444445
Justin Timberlake,"pop, rnb, dance, male vocalists, hip-hop",5.5070322222222226
Laufey,"jazz, bossa nova, jazz pop, pop, female vocalists",5.458639166666667
girl in red,"dream pop, indie pop, indie, bedroom pop, lo-fi",5.39191
Guns N' Roses,"hard rock, rock, classic rock, 80s, metal",5.2847494444444445
Bruno Mars,"pop, rnb, male vocalists, r&b, slow jams",5.214699444444444
Tame Impala,"psychedelic rock, psychedelic, indie rock, australian, rock",5.126526944444445
Bad Bunny,"reggaeton, trap, latin, puerto rico, trap latino",4.913157222222222
