artistName,tags,hoursPlayed
Bladee,"cloud rap, trap, drain, hip-hop, hip hop",142.18918666666667
Playboi Carti,"trap, cloud rap, hip-hop, rap, rage",32.48293666666667
Björk,"electronic, experimental, alternative, female vocalists, icelandic",25.75746
Panchiko,"indie rock, shoegaze, lo-fi, dream pop, indie",25.58081888888889
Future,"hip-hop, rap, trap, hip hop, atlanta",21.73650027777778
Gezebelle Gaburgably,"femcelcore, indie pop, pop punk, indie rock, slacker rock",19.95129
Magdalena Bay,"synthpop, electropop, indie pop, dream pop, dance-pop",17.37843972222222
Yeat,"trap, rap, cloud rap, rage, plugg",14.623175
JPEGMAFIA,"hip-hop, glitch hop, experimental hip hop, experimental, experimental hip-hop",14.358339444444445
PinkPantheress,"electronic, pop, 2-step, rnb, dance-pop",13.79253
Charli xcx,"pop, synthpop, electronic, female vocalists, electroclash",11.704217222222223
Oklou,"electronic, art pop, french, ambient pop, alternative rnb",11.632436666666667
Yung Lean,"hip-hop, cloud rap, sad, based, real recognize real and this nigga the realest",11.616984166666667
Eyedress,"electronic, psychedelic, indie, experimental, lo-fi",10.73961861111111
"Tyler, The Creator","hip-hop, rap, ofwgkta, underground hip-hop, swag",9.351088888888889
Travis Scott,"hip-hop, trap, rap, travis scott, hip hop",8.642546388888888
Denzel Curry,"hip-hop, rap, hip hop, southern hip hop, trap",8.612062777777778
Snow Strippers,"witch house, electropop, electroclash, electronic, new rave",6.851958611111111
Mitski,"indie rock, indie, indie pop, singer-songwriter, dream pop",6.499231666666667
Viagra Boys,"post-punk, crank wave, egg punk, dance-punk, art punk",6.471663888888889
Gorillaz,"electronic, alternative, hip-hop, rock, indie",6.4703925
Sematary,"horrorcore, witch house, trap, trap metal, cloud rap",6.417218611111111
OsamaSon,"trap, plugg, dark plugg, rage, rap",6.092398888888889
EsDeeKid,"cloud rap, british, trap, jerk, rap",6.031806388888889
Evanora Unlimited,"digital hardcore, synth punk, punk, usa, synth-pop",6.0145027777777775
Thaiboy Digital,"cloud rap, rap, trap, drain, drain gang",5.446391666666667
The Marías,"dream pop, indie pop, bedroom pop, indie, sophisti-pop",4.9730308333333335
